stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
3220,2470011-08702,"Wesoła Dzierżonia",50.1912490900,19.1139948100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2470011-08702/"
552,2471011-01601,"Dąbrówka Wielka Przychodnia Zdrowia",50.3464494600,18.9992069900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2471011-01601/"
8560,2463011-02201,"Chorzów Szkoła Niewidomych",50.2887357300,18.9472794300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2463011-02201/"
837,GR01201,"granica BĘDZ - CZEL (Wojkowicka)",50.3392772965,19.0687729386,"https://rj.transportgzm.pl/v2/rozklady/przystanek/GR01201/"
1663,2465011-08501,"Marianki",50.3658629600,19.1877770200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2465011-08501/"
11151,2475011-16302,"Zagórze Kosynierów Osiedle",50.3039924900,19.1969132400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-16302/"
11732,2478011-03401t,"Biskupice Schronisko nż",50.3305833700,18.8556766300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2478011-03401t/"
6195,2477011-00601,"Czułów Narcyzów",50.1419710100,18.9930164600,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2477011-00601/"
3051,2401011-06302,"Łagisza Cmentarz nż",50.3524597400,19.1448059700,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401011-06302/"
100,2478011-08602,"Zabrze Aleja Korfantego",50.3186617700,18.7743365700,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2478011-08602/"
2333,2401042-01901,"Podsączów",50.4335772000,19.0424334700,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401042-01901/"
3846,2413062-03702,"Pyrzowice Wolności",50.4678166800,19.0717232000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2413062-03702/"
5554,2401011-12201,"Będzin Johnson Electric",50.3130597100,19.1514885700,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401011-12201/"
14,2475011-14601,"Środula Chemiczna",50.2956726400,19.1435050900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-14601/"
